cohort,score,filename_opensea,filename_island,filename_shelf_shore,KM_opensea,KM_island,KM_shelf_shore,opensea_events,opensea_score_rank
TCGA-BLCA,stem-closeness_cosine-sim_bdm_pc1-avg_simple-avg_half_minmax_standardized_to-chrom-8,/data/project/3dith/pipelines/opensea-pipeline/1_compute-score-opensea/result/TCGA-BLCA/stem-closeness_cosine-sim_bdm_pc1-avg_simple-avg_half_minmax_standardized_to-chrom-8.csv,/data/project/3dith/pipelines/island-pipeline/1_compute-score-island/result/TCGA-BLCA/stem-closeness_cosine-sim_bdm_pc1-avg_simple-avg_half_minmax_standardized_to-chrom-8.csv,/data/project/3dith/pipelines/shelf_shore-pipeline/1_compute-score-shelf_shore/result/TCGA-BLCA/stem-closeness_cosine-sim_bdm_pc1-avg_simple-avg_half_minmax_standardized_to-chrom-8.csv,/data/project/3dith/pipelines/opensea-pipeline/2_downstream-opensea/result/TCGA-BLCA/kaplan-meier/survival_analysis_stem-closeness_cosine-sim_bdm_pc1-avg_simple-avg_half_minmax_standardized_to-chrom-8.png,/data/project/3dith/pipelines/island-pipeline/2_downstream-island/result/TCGA-BLCA/kaplan-meier/survival_analysis_stem-closeness_cosine-sim_bdm_pc1-avg_simple-avg_half_minmax_standardized_to-chrom-8.png,/data/project/3dith/pipelines/shelf_shore-pipeline/2_downstream-shelf_shore/result/TCGA-BLCA/kaplan-meier/survival_analysis_stem-closeness_cosine-sim_bdm_pc1-avg_simple-avg_half_minmax_standardized_to-chrom-8.png,"DFI, PFI",top1
TCGA-BRCA,stem-closeness_cosine-sim_bdm_pc1-avg_simple-avg_half_minmax_to-chrom-7,/data/project/3dith/pipelines/opensea-pipeline/1_compute-score-opensea/result/TCGA-BRCA/stem-closeness_cosine-sim_bdm_pc1-avg_simple-avg_half_minmax_to-chrom-7.csv,/data/project/3dith/pipelines/island-pipeline/1_compute-score-island/result/TCGA-BRCA/stem-closeness_cosine-sim_bdm_pc1-avg_simple-avg_half_minmax_to-chrom-7.csv,/data/project/3dith/pipelines/shelf_shore-pipeline/1_compute-score-shelf_shore/result/TCGA-BRCA/stem-closeness_cosine-sim_bdm_pc1-avg_simple-avg_half_minmax_to-chrom-7.csv,/data/project/3dith/pipelines/opensea-pipeline/2_downstream-opensea/result/TCGA-BRCA/kaplan-meier/survival_analysis_stem-closeness_cosine-sim_bdm_pc1-avg_simple-avg_half_minmax_to-chrom-7.png,/data/project/3dith/pipelines/island-pipeline/2_downstream-island/result/TCGA-BRCA/kaplan-meier/survival_analysis_stem-closeness_cosine-sim_bdm_pc1-avg_simple-avg_half_minmax_to-chrom-7.png,/data/project/3dith/pipelines/shelf_shore-pipeline/2_downstream-shelf_shore/result/TCGA-BRCA/kaplan-meier/survival_analysis_stem-closeness_cosine-sim_bdm_pc1-avg_simple-avg_half_minmax_to-chrom-7.png,"OS, DSS, DFI, PFI",top2
TCGA-CHOL,stem-closeness_euclidean_bdm_pc1-avg_simple-avg_half_normalized_standardized_to-chrom-19,/data/project/3dith/pipelines/opensea-pipeline/1_compute-score-opensea/result/TCGA-CHOL/stem-closeness_euclidean_bdm_pc1-avg_simple-avg_half_normalized_standardized_to-chrom-19.csv,/data/project/3dith/pipelines/island-pipeline/1_compute-score-island/result/TCGA-CHOL/stem-closeness_euclidean_bdm_pc1-avg_simple-avg_half_normalized_standardized_to-chrom-19.csv,/data/project/3dith/pipelines/shelf_shore-pipeline/1_compute-score-shelf_shore/result/TCGA-CHOL/stem-closeness_euclidean_bdm_pc1-avg_simple-avg_half_normalized_standardized_to-chrom-19.csv,/data/project/3dith/pipelines/opensea-pipeline/2_downstream-opensea/result/TCGA-CHOL/kaplan-meier/survival_analysis_stem-closeness_euclidean_bdm_pc1-avg_simple-avg_half_normalized_standardized_to-chrom-19.png,/data/project/3dith/pipelines/island-pipeline/2_downstream-island/result/TCGA-CHOL/kaplan-meier/survival_analysis_stem-closeness_euclidean_bdm_pc1-avg_simple-avg_half_normalized_standardized_to-chrom-19.png,/data/project/3dith/pipelines/shelf_shore-pipeline/2_downstream-shelf_shore/result/TCGA-CHOL/kaplan-meier/survival_analysis_stem-closeness_euclidean_bdm_pc1-avg_simple-avg_half_normalized_standardized_to-chrom-19.png,"DSS, PFI",top1
TCGA-COAD,stem-closeness_euclidean_bdm_pc1-avg_simple-avg_half_minmax_standardized_to-chrom-20,/data/project/3dith/pipelines/opensea-pipeline/1_compute-score-opensea/result/TCGA-COAD/stem-closeness_euclidean_bdm_pc1-avg_simple-avg_half_minmax_standardized_to-chrom-20.csv,/data/project/3dith/pipelines/island-pipeline/1_compute-score-island/result/TCGA-COAD/stem-closeness_euclidean_bdm_pc1-avg_simple-avg_half_minmax_standardized_to-chrom-20.csv,/data/project/3dith/pipelines/shelf_shore-pipeline/1_compute-score-shelf_shore/result/TCGA-COAD/stem-closeness_euclidean_bdm_pc1-avg_simple-avg_half_minmax_standardized_to-chrom-20.csv,/data/project/3dith/pipelines/opensea-pipeline/2_downstream-opensea/result/TCGA-COAD/kaplan-meier/survival_analysis_stem-closeness_euclidean_bdm_pc1-avg_simple-avg_half_minmax_standardized_to-chrom-20.png,/data/project/3dith/pipelines/island-pipeline/2_downstream-island/result/TCGA-COAD/kaplan-meier/survival_analysis_stem-closeness_euclidean_bdm_pc1-avg_simple-avg_half_minmax_standardized_to-chrom-20.png,/data/project/3dith/pipelines/shelf_shore-pipeline/2_downstream-shelf_shore/result/TCGA-COAD/kaplan-meier/survival_analysis_stem-closeness_euclidean_bdm_pc1-avg_simple-avg_half_minmax_standardized_to-chrom-20.png,"DSS, DFI, PFI",top1
TCGA-KIRC,stem-closeness_euclidean_bdm_pc1-avg_weighted-avg_half_normalized_to-chrom-3,/data/project/3dith/pipelines/opensea-pipeline/1_compute-score-opensea/result/TCGA-KIRC/stem-closeness_euclidean_bdm_pc1-avg_weighted-avg_half_normalized_to-chrom-3.csv,/data/project/3dith/pipelines/island-pipeline/1_compute-score-island/result/TCGA-KIRC/stem-closeness_euclidean_bdm_pc1-avg_weighted-avg_half_normalized_to-chrom-3.csv,/data/project/3dith/pipelines/shelf_shore-pipeline/1_compute-score-shelf_shore/result/TCGA-KIRC/stem-closeness_euclidean_bdm_pc1-avg_weighted-avg_half_normalized_to-chrom-3.csv,/data/project/3dith/pipelines/opensea-pipeline/2_downstream-opensea/result/TCGA-KIRC/kaplan-meier/survival_analysis_stem-closeness_euclidean_bdm_pc1-avg_weighted-avg_half_normalized_to-chrom-3.png,/data/project/3dith/pipelines/island-pipeline/2_downstream-island/result/TCGA-KIRC/kaplan-meier/survival_analysis_stem-closeness_euclidean_bdm_pc1-avg_weighted-avg_half_normalized_to-chrom-3.png,/data/project/3dith/pipelines/shelf_shore-pipeline/2_downstream-shelf_shore/result/TCGA-KIRC/kaplan-meier/survival_analysis_stem-closeness_euclidean_bdm_pc1-avg_weighted-avg_half_normalized_to-chrom-3.png,"OS, DSS, DFI, PFI",top1
TCGA-KIRP,stem-closeness_euclidean_bdm_pc1-avg_weighted-avg_half_minmax_to-chrom-1,/data/project/3dith/pipelines/opensea-pipeline/1_compute-score-opensea/result/TCGA-KIRP/stem-closeness_euclidean_bdm_pc1-avg_weighted-avg_half_minmax_to-chrom-1.csv,/data/project/3dith/pipelines/island-pipeline/1_compute-score-island/result/TCGA-KIRP/stem-closeness_euclidean_bdm_pc1-avg_weighted-avg_half_minmax_to-chrom-1.csv,/data/project/3dith/pipelines/shelf_shore-pipeline/1_compute-score-shelf_shore/result/TCGA-KIRP/stem-closeness_euclidean_bdm_pc1-avg_weighted-avg_half_minmax_to-chrom-1.csv,/data/project/3dith/pipelines/opensea-pipeline/2_downstream-opensea/result/TCGA-KIRP/kaplan-meier/survival_analysis_stem-closeness_euclidean_bdm_pc1-avg_weighted-avg_half_minmax_to-chrom-1.png,/data/project/3dith/pipelines/island-pipeline/2_downstream-island/result/TCGA-KIRP/kaplan-meier/survival_analysis_stem-closeness_euclidean_bdm_pc1-avg_weighted-avg_half_minmax_to-chrom-1.png,/data/project/3dith/pipelines/shelf_shore-pipeline/2_downstream-shelf_shore/result/TCGA-KIRP/kaplan-meier/survival_analysis_stem-closeness_euclidean_bdm_pc1-avg_weighted-avg_half_minmax_to-chrom-1.png,"OS, DSS, DFI, PFI",top1
TCGA-LIHC,stem-closeness_cosine-sim_iebdm_pc1-avg_simple-avg_half_minmax_standardized_to-chrom-9,/data/project/3dith/pipelines/opensea-pipeline/1_compute-score-opensea/result/TCGA-LIHC/stem-closeness_cosine-sim_iebdm_pc1-avg_simple-avg_half_minmax_standardized_to-chrom-9.csv,/data/project/3dith/pipelines/island-pipeline/1_compute-score-island/result/TCGA-LIHC/stem-closeness_cosine-sim_iebdm_pc1-avg_simple-avg_half_minmax_standardized_to-chrom-9.csv,/data/project/3dith/pipelines/shelf_shore-pipeline/1_compute-score-shelf_shore/result/TCGA-LIHC/stem-closeness_cosine-sim_iebdm_pc1-avg_simple-avg_half_minmax_standardized_to-chrom-9.csv,/data/project/3dith/pipelines/opensea-pipeline/2_downstream-opensea/result/TCGA-LIHC/kaplan-meier/survival_analysis_stem-closeness_cosine-sim_iebdm_pc1-avg_simple-avg_half_minmax_standardized_to-chrom-9.png,/data/project/3dith/pipelines/island-pipeline/2_downstream-island/result/TCGA-LIHC/kaplan-meier/survival_analysis_stem-closeness_cosine-sim_iebdm_pc1-avg_simple-avg_half_minmax_standardized_to-chrom-9.png,/data/project/3dith/pipelines/shelf_shore-pipeline/2_downstream-shelf_shore/result/TCGA-LIHC/kaplan-meier/survival_analysis_stem-closeness_cosine-sim_iebdm_pc1-avg_simple-avg_half_minmax_standardized_to-chrom-9.png,"DSS, DFI, PFI",top1
TCGA-LUAD,stem-closeness_euclidean_bdm_pc1-avg_weighted-avg_half_normalized_standardized_to-chrom-1,/data/project/3dith/pipelines/opensea-pipeline/1_compute-score-opensea/result/TCGA-LUAD/stem-closeness_euclidean_bdm_pc1-avg_weighted-avg_half_normalized_standardized_to-chrom-1.csv,/data/project/3dith/pipelines/island-pipeline/1_compute-score-island/result/TCGA-LUAD/stem-closeness_euclidean_bdm_pc1-avg_weighted-avg_half_normalized_standardized_to-chrom-1.csv,/data/project/3dith/pipelines/shelf_shore-pipeline/1_compute-score-shelf_shore/result/TCGA-LUAD/stem-closeness_euclidean_bdm_pc1-avg_weighted-avg_half_normalized_standardized_to-chrom-1.csv,/data/project/3dith/pipelines/opensea-pipeline/2_downstream-opensea/result/TCGA-LUAD/kaplan-meier/survival_analysis_stem-closeness_euclidean_bdm_pc1-avg_weighted-avg_half_normalized_standardized_to-chrom-1.png,/data/project/3dith/pipelines/island-pipeline/2_downstream-island/result/TCGA-LUAD/kaplan-meier/survival_analysis_stem-closeness_euclidean_bdm_pc1-avg_weighted-avg_half_normalized_standardized_to-chrom-1.png,/data/project/3dith/pipelines/shelf_shore-pipeline/2_downstream-shelf_shore/result/TCGA-LUAD/kaplan-meier/survival_analysis_stem-closeness_euclidean_bdm_pc1-avg_weighted-avg_half_normalized_standardized_to-chrom-1.png,"OS, DSS, PFI",top7
TCGA-LUSC,stem-closeness_euclidean_bdm_pc1-avg_simple-avg_half_minmax_standardized_to-chrom-14,/data/project/3dith/pipelines/opensea-pipeline/1_compute-score-opensea/result/TCGA-LUSC/stem-closeness_euclidean_bdm_pc1-avg_simple-avg_half_minmax_standardized_to-chrom-14.csv,/data/project/3dith/pipelines/island-pipeline/1_compute-score-island/result/TCGA-LUSC/stem-closeness_euclidean_bdm_pc1-avg_simple-avg_half_minmax_standardized_to-chrom-14.csv,/data/project/3dith/pipelines/shelf_shore-pipeline/1_compute-score-shelf_shore/result/TCGA-LUSC/stem-closeness_euclidean_bdm_pc1-avg_simple-avg_half_minmax_standardized_to-chrom-14.csv,/data/project/3dith/pipelines/opensea-pipeline/2_downstream-opensea/result/TCGA-LUSC/kaplan-meier/survival_analysis_stem-closeness_euclidean_bdm_pc1-avg_simple-avg_half_minmax_standardized_to-chrom-14.png,/data/project/3dith/pipelines/island-pipeline/2_downstream-island/result/TCGA-LUSC/kaplan-meier/survival_analysis_stem-closeness_euclidean_bdm_pc1-avg_simple-avg_half_minmax_standardized_to-chrom-14.png,/data/project/3dith/pipelines/shelf_shore-pipeline/2_downstream-shelf_shore/result/TCGA-LUSC/kaplan-meier/survival_analysis_stem-closeness_euclidean_bdm_pc1-avg_simple-avg_half_minmax_standardized_to-chrom-14.png,"OS, DSS, PFI",top17
TCGA-PAAD,stem-closeness_cosine-sim_bdm_pc1-avg_simple-avg_half_minmax_to-chrom-8,/data/project/3dith/pipelines/opensea-pipeline/1_compute-score-opensea/result/TCGA-PAAD/stem-closeness_cosine-sim_bdm_pc1-avg_simple-avg_half_minmax_to-chrom-8.csv,/data/project/3dith/pipelines/island-pipeline/1_compute-score-island/result/TCGA-PAAD/stem-closeness_cosine-sim_bdm_pc1-avg_simple-avg_half_minmax_to-chrom-8.csv,/data/project/3dith/pipelines/shelf_shore-pipeline/1_compute-score-shelf_shore/result/TCGA-PAAD/stem-closeness_cosine-sim_bdm_pc1-avg_simple-avg_half_minmax_to-chrom-8.csv,/data/project/3dith/pipelines/opensea-pipeline/2_downstream-opensea/result/TCGA-PAAD/kaplan-meier/survival_analysis_stem-closeness_cosine-sim_bdm_pc1-avg_simple-avg_half_minmax_to-chrom-8.png,/data/project/3dith/pipelines/island-pipeline/2_downstream-island/result/TCGA-PAAD/kaplan-meier/survival_analysis_stem-closeness_cosine-sim_bdm_pc1-avg_simple-avg_half_minmax_to-chrom-8.png,/data/project/3dith/pipelines/shelf_shore-pipeline/2_downstream-shelf_shore/result/TCGA-PAAD/kaplan-meier/survival_analysis_stem-closeness_cosine-sim_bdm_pc1-avg_simple-avg_half_minmax_to-chrom-8.png,"OS, DSS, PFI",top1
