,n_tumor,n_normal,n_total
TCGA-LGG,530,0,530
TCGA-UCS,57,0,57
TCGA-BLCA,413,21,434
TCGA-LUAD,460,32,492
TCGA-THYM,124,2,126
TCGA-PRAD,499,50,549
TCGA-DLBC,48,0,48
TCGA-ACC,80,0,80
TCGA-KICH,66,0,66
TCGA-GBM,153,2,155
TCGA-READ,99,7,106
TCGA-KIRC,320,160,480
TCGA-LAML,194,0,194
TCGA-ESCA,186,16,202
TCGA-STAD,396,2,398
TCGA-UCEC,432,46,478
TCGA-KIRP,276,45,321
TCGA-OV,10,0,10
TCGA-SARC,265,4,269
TCGA-THCA,515,56,571
TCGA-HNSC,530,50,580
TCGA-LIHC,379,50,429
TCGA-LUSC,372,43,415
TCGA-PCPG,184,3,187
TCGA-SKCM,474,2,476
TCGA-TGCT,156,0,156
TCGA-CESC,309,3,312
TCGA-CHOL,36,9,45
TCGA-PAAD,185,10,195
TCGA-UVM,80,0,80
TCGA-MESO,87,0,87
TCGA-BRCA,790,98,888
TCGA-COAD,299,38,337
