cohort,description,tissue,url
TCGA-LAML,Acute myeloid leukemia,,https://tcga-xena-hub.s3.us-east-1.amazonaws.com/download/TCGA.LAML.sampleMap%2FHumanMethylation450.gz
TCGA-ACC,Adrenocortinal cancer,,
TCGA-CHOL,Bile duct cancer,,
TCGA-BLCA,Bladder cancer,Bladder,
TCGA-BRCA,Breast cancer,Breast,https://tcga-xena-hub.s3.us-east-1.amazonaws.com/download/TCGA.BRCA.sampleMap%2FHumanMethylation450.gz
TCGA-CESC,Cervical cancer,Uterus,
TCGA-COAD,Colon cancer,Colon,
TCGA-UCEC,Endometrioid cancer,Uterus,
TCGA-ESCA,Esophageal cancer,Esophagus,
TCGA-GBM,Glioblastoma,Brain,
TCGA-HNSC,Head and neck cancer,,
TCGA-KICH,Kidney chromophobe,Kidney,
TCGA-KIRC,Kidney clear cell carcinoma,Kidney,
TCGA-KIRP,Kidney papillary cell carcinoma,Kidney,
TCGA-DLBC,Large B-cell lymphoma,,
TCGA-LIHC,Liver cancer,Liver,
TCGA-LGG,Lower grade glioma,,
TCGA-LUAD,Lung adenocarcinoma,Lung,
TCGA-LUSC,Lung squamous cell carcinoma,Lung,
TCGA-SKCM,Melanoma,,
TCGA-MESO,Mesothelioma,,
TCGA-UVM,Ocular melanomas,,
TCGA-OV,Ovarian cancer,Ovary,
TCGA-PAAD,Pancreatic cancer,Pancreas,
TCGA-PCPG,Pheochromocytoma & Paraganglioma,,
TCGA-PRAD,Prostate cancer,Prostate,
TCGA-READ,Rectal cancer,Rectum,
TCGA-SARC,Sarcoma,,
TCGA-STAD,Stomach cancer,Stomach,
TCGA-TGCT,Testicular cancer,,
TCGA-THYM,Thymoma,Thymus,
TCGA-THCA,Thyroid cancer,Thyroid,
TCGA-UCS,Uterine carcinosarcoma,Uterus
